"id";"referencia";"Tipo";"Estado";"Cidade";"Bairro";"endereco";"numero";"complemento";"descricao";"QtdDormitorio";"QtdSuite";"QtdBanheiro";"QtdBoxes";"AreaTotal";"AreaPrivativa";"areaUtil";"preco";"preco_loca";"precoCondominio";"DataCadastro"
"834556";"AP302355";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Cruzeiro";"Rua Nepomuceno Diniz de Vargas";"175";"AP | N° 34";"Ótimo apartamento semimobiliado 03 dormitórios sendo 01 suíte, banheiro social, área de serviço, sala de estar e jantar integrados, cozinha, churrasqueira e box no chuveiro;
Acabamento com massa corrida, teto rebaixado em gesso, gelosia, piso laminado e porcelanato e esquadrias de alumínio;
Condomínio com jardim, elevador, portão eletrônico e cerca elétrica.";"3";"1";"2";"12";NULL;"94";"94";"445000";"0";"200";"2021-05-31 14:47:20"
"839068";"SC02154";"Sala Comercial";"RIO GRANDE DO SUL";"Caxias do Sul";"Cinquentenário";"Rua Ângelo Francisco Guerra";"51";NULL;"Ótima sala comercial com 91,2 m² de área privativa, mais de 37 m² de área aberta (terraço);
Conta ainda com 01 vaga de estacionamento, 02 banheiros;
Piso porcelanato, forro de gesso, massa corrida, ampla área envidraçada;
Ótima localização, próximo ao shopping Iguatemi.";NULL;"0";"2";NULL;NULL;"91";"91";"260000";"0";"0";"2021-06-10 10:04:46"
"843002";"AP202382";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"São Pelegrino";"Rua Olavo Bilac";"287";"AP | N°31";"Ótimo apartamento no São Pelegrino composto por 02 dormitórios sendo 01 suíte;
Apartamento semi-mobiliado.";"2";"1";"2";"8";NULL;"107";"107";"463000";"0";"0";"2021-06-17 15:20:27"
"845629";"TER02348";"Terreno";"RIO GRANDE DO SUL";"Caxias do Sul";"Forqueta";"Rua Dorivia Ferrasso dos Reis";NULL;"Lote 11";"Excelente loteamento planejado com infraestrutura completo, ruas com pavimentação asfáltica, quadra de vôlei de areia, playgraund, e campo de futebol.";NULL;"0";NULL;NULL;NULL;NULL;NULL;"100000";"0";"0";"2021-06-29 13:57:48"
"845727";"AP202391";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Cidade Nova";"Rua Dante Francisco Zatera";"455";"101";"Apartamento 02 dormitórios 01 banheiro social , sala de estar e jantar integrados, cozinha e sacada com churrasqueira; 
Acabamento com esquadrias de alumínio, massa corrida, gelosia e teto rebaixado em gesso;
Condomínio com portão eletrônico, cerca elétrica, interfone e portão eletrônico.";"2";"0";"1";"2";NULL;"57";NULL;"190000";"0";"0";"2021-06-29 16:53:24"
"847429";"AP202397";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"São Luiz";"Rua Padre Angelo Tronca";"1390";"AP | N°502";"Ótimo apartamento 02 dormitórios, living 02 ambientes, cozinha, área de serviço, terraço com churrasqueira e banheiro social;
Condomínio com gás central, porteiro eletrônico, interfone e elevador.";"2";"0";"1";"16";"58";"55";"55";"235000";"0";"0";"2021-07-06 09:55:54"
"856574";"TER02356";"Terreno";"RIO GRANDE DO SUL";"Caxias do Sul";"São Giácomo";"Rua Aldir Rech";NULL;NULL;"Excelente terreno plano, com ótima posição solar sendo norte.";NULL;"0";NULL;NULL;NULL;"312";NULL;"140000";"0";"0";"2021-07-30 15:02:18"
"858628";"AP202417";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Pio X";"Rua Garibaldi";"247";"Nº 703";"Lindo apartamento semimobiliado 02 dormitórios sendo 01 suíte com 02 vagas de garagem.";"2";"1";"2";"31";NULL;"78";"78";"450000";"0";"375";"2021-08-05 17:50:21"
"858967";"CAC302310";"Casa em Condomínio 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Linha 40";"Rua Travessão Thompson Flores";"Lote 93";NULL;"Magnífica casa em condomínio fechado, totalmente mobiliada, contempla 03 suítes com closet e hidromassagem 01 com lareira, cozinha com churrasqueira, amplo living com jantar envidraçado e sala de tv, lareira, 02 sacadas e área de serviço;
Acabamento classe A com rebaixe em gesso, esquadrias de PVC, iluminação, vidros duplos e piso porcelanato;
Casa com piscina aquecida, varanda gourmet com churrasqueira externa, piso aquecido na parte superior, amplo pátio e jardim, completa para proporcionar os melhores momentos para você e sua família.";"3";"3";"4";NULL;"1200";"450";"450";"2500000";"0";"0";"2021-08-07 10:42:06"
"859306";"TER02361";"Terreno";"RIO GRANDE DO SUL";"Caxias do Sul";"Altos do Seminário";"Rua Padre Luiz Bonetto";"113";NULL;"Excelente terreno para construção em bairro nobre de Caxias do sul;
Dimensões 14x26,65";NULL;"0";NULL;NULL;NULL;"368";"368";"450000";"0";"0";"2021-08-09 17:09:46"
